strut_id,material_fraction,longest_gap_samples,flag,x_voxel,y_voxel,z_voxel
0,1.0,0,clear,79.18418959990021,71.82656940317513,26.42347087254557
1,1.0,0,clear,118.67247502369594,71.62577382421134,26.456193207198034
2,1.0,0,clear,118.87336042735217,111.11392123605359,26.346948701220402
3,1.0,0,clear,79.38507500355644,111.31471681501738,26.314226366567937
4,0.6129032258064516,11,clear,59.423963742209416,71.98167195240659,46.15143211834354
5,0.6451612903225806,11,clear,59.624849145865646,111.46981936424883,46.042187612365915
6,1.0,0,clear,59.59268285427984,111.57922888374796,85.53083243861441
7,0.7419354838709677,8,clear,59.39179745062361,72.09108147190567,85.64007694459204
8,0.9354838709677419,2,clear,79.06766375227917,52.137200457003566,46.22241553865863
9,0.7741935483870968,6,clear,118.5559491760749,51.936404878039774,46.2551378733111
10,0.03225806451612903,30,disconnected_candidate,79.03549746069336,52.246609976502654,85.71106036490713
11,1.0,0,clear,118.52378288448907,52.04581439753886,85.74378269955959
12,1.0,0,clear,79.23638286434954,91.73475738834493,85.60181585892944
13,0.9032258064516129,3,clear,79.26854915593539,91.62534786884581,46.113171032680945
14,1.0,0,clear,79.3529087119706,111.42412633451649,65.80287119281635
15,1.0,0,clear,79.15202330831437,71.93597892267425,65.91211569879401
16,1.0,0,clear,118.7568345797311,91.42455228988202,46.145893367333464
17,1.0,0,clear,118.84119413576633,111.2233307555527,65.83559352746887
18,1.0,0,clear,118.72466828814527,91.53396180938114,85.63453819358196
19,1.0,0,clear,98.91224916600515,71.7808763734428,46.18415445299603
20,1.0,0,clear,118.64030873211009,71.73518334371045,65.94483803344653
21,1.0,0,clear,98.8800828744193,71.8902858929419,85.67279927924453
22,1.0,0,clear,99.08096827807555,111.37843330478415,85.56355477326687
23,1.0,0,clear,99.11313456966138,111.26902378528503,46.07490994701838
24,1.0,0,clear,158.1607604474916,71.42497824524756,26.488915541850496
25,1.0,0,clear,197.64904587128734,71.22418266628377,26.521637876502957
26,1.0,0,clear,197.84993127494357,110.712330078126,26.412393370525326
27,1.0,0,clear,158.36164585114787,110.91312565708981,26.379671035872864
28,1.0,0,clear,138.40053458980088,71.580080794479,46.21687678764853
29,1.0,0,clear,138.6014199934571,111.06822820632125,46.107632281670895
30,1.0,0,clear,138.56925370187128,111.17763772582035,85.59627710791939
31,1.0,0,clear,138.36836829821505,71.6894903139781,85.70552161389702
32,1.0,0,clear,158.0442345998706,51.73560929907599,46.28786020796359
33,1.0,0,clear,197.5325200236663,51.5348137201122,46.32058254261605
34,1.0,0,clear,158.01206830828477,51.84501881857507,85.77650503421208
35,1.0,0,clear,197.5003537320805,51.644223239611286,85.80922736886455
36,1.0,0,clear,158.212953711941,91.33316623041735,85.66726052823445
37,1.0,0,clear,158.2451200035268,91.22375671091822,46.178615701985926
38,0.3225806451612903,21,uncertain_candidate,158.329479559562,111.02253517658892,65.86831586212136
39,1.0,0,clear,158.12859415590577,71.53438776474667,65.97756036809902
40,1.0,0,clear,197.73340542732254,91.02296113195445,46.21133803663839
41,1.0,0,clear,197.81776498335773,110.82173959762514,65.90103819677383
42,0.967741935483871,1,clear,197.70123913573673,91.13237065145356,85.69998286288691
43,1.0,0,clear,177.88882001359656,71.37928521551521,46.249599122300985
44,0.7741935483870968,7,clear,197.6168795797015,71.33359218578288,66.01028270275148
45,1.0,0,clear,177.85665372201072,71.48869473501433,85.73824394854951
46,1.0,0,clear,178.05753912566695,110.97684214685658,85.62899944257185
47,1.0,0,clear,178.0897054172528,110.86743262735746,46.14035461632333
48,1.0,0,clear,237.13733129508307,71.02338708731997,26.554360211155448
49,1.0,0,clear,276.62561671887875,70.82259150835618,26.58708254580791
50,1.0,0,clear,276.826502122535,110.31073892019845,26.47783803983028
51,1.0,0,clear,237.3382166987393,110.51153449916222,26.44511570517782
52,1.0,0,clear,217.3771054373923,71.17848963655143,46.282321456953454
53,1.0,0,clear,217.57799084104855,110.66663704839368,46.17307695097582
54,1.0,0,clear,217.54582454946274,110.77604656789276,85.66172177722432
55,0.9354838709677419,1,clear,217.3449391458065,71.28789915605051,85.77096628320194
56,1.0,0,clear,237.020805447462,51.334018141148405,46.35330487726851
57,1.0,0,clear,276.5090908712577,51.13322256218462,46.386027211920975
58,0.9032258064516129,2,clear,236.98863915587623,51.4434276606475,85.841949703517
59,1.0,0,clear,276.47692457967196,51.24263208168371,85.87467203816948
60,1.0,0,clear,237.18952455953246,90.93157507248978,85.73270519753937
61,1.0,0,clear,237.22169085111827,90.82216555299065,46.244060371290885
62,0.3548387096774194,20,uncertain_candidate,237.30605040715346,110.62094401866133,65.93376053142629
63,1.0,0,clear,237.10516500349723,71.13279660681908,66.04300503740394
64,1.0,0,clear,276.70997627491397,90.62136997402686,46.27678270594335
65,0.8709677419354839,4,clear,276.7943358309492,110.42014843969756,65.96648286607875
66,1.0,0,clear,276.6778099833282,90.73077949352599,85.76542753219184
67,1.0,0,clear,256.86539086118796,70.97769405758763,46.315043791605945
68,0.7741935483870968,7,clear,276.59345042729296,70.9320010278553,66.0757273720564
69,1.0,0,clear,256.8332245696022,71.08710357708676,85.80368861785443
70,1.0,0,clear,257.0341099732584,110.57525098892901,85.69444411187678
71,1.0,0,clear,257.0662762648442,110.46584146942988,46.20579928562829
72,1.0,0,clear,316.1139021426744,70.62179592939239,26.61980488046037
73,1.0,0,clear,355.60218756647015,70.42100035042861,26.652527215112833
74,1.0,0,clear,355.8030729701264,109.90914776227086,26.543282709135205
75,1.0,0,clear,316.31478754633065,110.10994334123465,26.510560374482743
76,1.0,0,clear,296.35367628498364,70.77689847862385,46.34776612625838
77,1.0,0,clear,296.55456168863986,110.2650458904661,46.23852162028074
78,1.0,0,clear,296.52239539705414,110.37445540996521,85.72716644652924
79,0.8709677419354839,4,clear,296.3215099933979,70.88630799812293,85.83641095250687
80,1.0,0,clear,315.9973762950534,50.932426983220836,46.41874954657344
81,0.967741935483871,1,clear,355.48566171884914,50.731631404257044,46.4514718812259
82,1.0,0,clear,315.96521000346763,51.04183650271992,85.90739437282193
83,1.0,0,clear,355.4534954272633,50.84104092375613,85.94011670747443
84,1.0,0,clear,316.16609540712386,90.5299839145622,85.79814986684431
85,1.0,0,clear,316.19826169870964,90.42057439506308,46.30950504059581
86,0.25806451612903225,23,disconnected_candidate,316.28262125474487,110.21935286073375,65.99920520073121
87,1.0,0,clear,316.08173585108864,70.73120544889152,66.10844970670887
88,1.0,0,clear,355.68654712250543,90.21977881609929,46.34222737524827
89,0.3870967741935484,19,uncertain_candidate,355.77090667854065,110.01855728176997,66.03192753538367
90,1.0,0,clear,355.65438083091965,90.32918833559842,85.83087220149676
91,1.0,0,clear,335.8419617087794,70.57610289966006,46.38048846091087
92,0.25806451612903225,23,disconnected_candidate,355.5700212748844,70.53040986992772,66.14117204136133
93,1.0,0,clear,335.80979541719364,70.68551241915918,85.86913328715937
94,0.967741935483871,1,clear,336.01068082084987,110.17365983100143,85.7598887811817
95,1.0,0,clear,336.04284711243565,110.0642503115023,46.27124395493321
96,1.0,0,clear,395.0904729902658,70.22020477146485,26.6852495497653
97,1.0,0,clear,434.57875841406155,70.01940919250106,26.717971884417793
98,1.0,0,clear,434.7796438177178,109.5075566043433,26.60872737844016
99,1.0,0,clear,395.29135839392205,109.7083521833071,26.576005043787667
100,1.0,0,clear,375.3302471325751,70.37530732069628,46.4132107955633
101,1.0,0,clear,375.5311325362313,109.86345473253853,46.303966289585674
102,1.0,0,clear,375.49896624464554,109.97286425203764,85.79261111583416
103,0.9354838709677419,2,clear,375.2980808409893,70.48471684019536,85.90185562181182
104,1.0,0,clear,394.9739471426448,50.53083582529325,46.48419421587836
105,1.0,0,clear,434.46223256644055,50.33004024632947,46.51691655053085
106,1.0,0,clear,394.941780851059,50.64024534479235,85.97283904212688
107,0.5161290322580645,7,uncertain_candidate,434.43006627485477,50.439449765828556,86.00556137677935
108,1.0,0,clear,395.1426662547153,90.12839275663463,85.86359453614926
109,1.0,0,clear,395.1748325463011,90.01898323713553,46.37494970990073
110,0.22580645161290322,24,disconnected_candidate,395.2591921023363,109.81776170280618,66.06464987003613
111,0.5483870967741935,14,uncertain_candidate,395.0583066986801,70.32961429096395,66.17389437601379
112,1.0,0,clear,434.6631179700968,89.81818765817174,46.407672044553195
113,0.3225806451612903,21,uncertain_candidate,434.747477526132,109.61696612384239,66.0973722046886
114,1.0,0,clear,434.630951678511,89.92759717767083,85.89631687080171
115,1.0,0,clear,414.81853255637077,70.17451174173252,46.44593313021579
116,0.22580645161290322,24,disconnected_candidate,434.5465921224758,70.12881871200014,66.20661671066625
117,0.967741935483871,1,clear,414.786366264785,70.2839212612316,85.93457795646432
118,0.7096774193548387,5,clear,414.9872516684412,109.77206867307385,85.82533345048665
119,1.0,0,clear,415.019417960027,109.66265915357475,46.336688624238136
120,1.0,0,clear,474.06704383785734,69.81861361353725,26.750694219070255
121,1.0,0,clear,513.555329261653,69.61781803457346,26.783416553722716
122,1.0,0,clear,513.7562146653094,109.1059654464157,26.674172047745085
123,1.0,0,clear,474.26792924151357,109.3067610253795,26.641449713092623
124,1.0,0,clear,454.30681798016656,69.9737161627687,46.478655464868254
125,0.967741935483871,1,clear,454.5077033838228,109.46186357461094,46.369410958890626
126,0.9354838709677419,2,clear,454.475537092237,109.57127309411007,85.8580557851391
127,0.967741935483871,1,clear,454.2746516885808,70.08312568226779,85.96730029111674
128,1.0,0,clear,473.95051799023634,50.12924466736568,46.54963888518331
129,1.0,0,clear,513.438803414032,49.92844908840189,46.582361219835775
130,1.0,0,clear,473.9183516986505,50.238654186864764,86.0382837114318
131,0.16129032258064516,26,disconnected_candidate,513.4066371224462,50.03785860790097,86.07100604608428
132,0.3870967741935484,13,uncertain_candidate,474.1192371023068,89.72680159870704,85.92903920545419
133,1.0,0,clear,474.15140339389256,89.61739207920792,46.44039437920566
134,0.25806451612903225,23,disconnected_candidate,474.2357629499278,109.4161705448786,66.13009453934106
135,0.25806451612903225,23,disconnected_candidate,474.03487754627156,69.92802313303636,66.23933904531872
136,1.0,0,clear,513.6396888176882,89.41659650024414,46.47311671385812
137,0.2903225806451613,22,uncertain_candidate,513.7240483737235,109.2153749659148,66.16281687399352
138,1.0,0,clear,513.6075225261025,89.52600601974325,85.96176154010664
139,1.0,0,clear,493.7951034039623,69.7729205838049,46.511377799520716
140,0.25806451612903225,23,disconnected_candidate,513.5231629700672,69.72722755407257,66.27206137997118
141,1.0,0,clear,493.7629371123765,69.88233010330403,86.00002262576925
142,0.2903225806451613,16,uncertain_candidate,493.96382251603274,109.37047751514626,85.89077811979158
143,1.0,0,clear,493.9959888076185,109.26106799564715,46.40213329354306
144,1.0,0,clear,553.0436146854488,69.41702245560967,26.81613888837518
145,1.0,0,clear,592.5319001092445,69.21622687664588,26.84886122302764
146,1.0,0,clear,592.7327855129008,108.70437428848811,26.739616717050012
